"Size_category","BM_category","LHS","intercept","A","D","DD","E","NegE","AC","adj_r_squared","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC"
"Small cap","Low BM","E_{t+1}",0.573153441249917,-0.00717880689846396,-0.750076583656689,0.948858155665142,0.344504602423194,-2.85312865652663,-0.0150444169461997,0.266832612857016,2.65792209407709,-2.59085095218423,-2.27723657584982,1.514706843971,9.53498513383279,-3.6243532551466,-1.7256898960121
"Small cap","Med BM","E_{t+1}",0.254350870141805,-0.00885235247862599,0.0189079198998245,0.392943923647601,0.613520363113844,-0.743232555558719,-0.151005267109855,0.317451819576218,2.41137464552916,-2.29135451928529,0.674875313614751,1.65802242755122,22.1525966498849,-2.81007320655859,-5.25398582109395
"Small cap","High BM","E_{t+1}",-0.0418478742373525,-0.0222550385489867,-0.0801245522415714,3.77380308644499,0.396429778471626,-1.13731869087038,0.135979953210637,0.205316684251437,0.647734814103308,-8.52480887647407,1.34613912684884,2.64322334630074,14.0314568071857,-0.375645668907218,0.159502852913219
"Medium cap","Low BM","E_{t+1}",2.0141077642454,0.000359959591063891,-0.318565924575239,2.90903973199501,0.875093503881847,-1.2153781905837,-0.210670972611177,0.281519443923272,2.07546850799549,-0.0662140054048908,0.452592850097616,1.042752463996,17.0984447924626,-1.20827486268677,-2.46093970886371
"Medium cap","Med BM","E_{t+1}",-0.270987739339154,0.00244552051914686,-0.0350591599897863,2.75769785471933,0.738564094924462,-1.22457265452963,-0.0635004954367521,0.397084765996205,-0.541152521940585,2.51765273893898,0.806827960376665,3.49405971741862,30.6879417888318,-2.25470357884315,-4.59951452099893
"Medium cap","High BM","E_{t+1}",0.976918689556183,-0.0146626382675527,0.195806712001886,9.30865181890555,0.577957062313899,-5.02020092346516,0.0685269930381423,0.266988726696938,-0.164453332883042,-8.10847388749927,2.26703319382019,2.61614755599591,13.8007395341796,-1.00532519539553,2.00049440233144
"Large cap","Low BM","E_{t+1}",-15.4123532481698,0.000461174961517254,0.281785445384239,-38.9380378558456,1.05551234954221,16.2736206686608,-0.228817066339461,0.80612004263256,-0.735357238937145,2.80425085844466,4.51042621609037,-2.00586426102813,39.1329241835302,0.644312922098918,-13.9150506863969
"Large cap","Med BM","E_{t+1}",-27.0780972295249,0.0108585258944413,0.387786199395336,-19.1885347371928,0.812006642882786,68.6176376730564,-0.0360908104577976,0.71372195152998,-1.4143117353058,8.53637256078389,6.45764244742576,-0.651387626233879,31.1751577264497,2.78739741677511,-3.74241808623083
"Large cap","High BM","E_{t+1}",3.12473155706255,0.00386473443173185,0.0541168430392095,-18.1582449488297,0.739444016786924,40.9002037861228,0.0786855271097741,0.520336294350371,-0.0438901936959579,2.04061073122544,-0.498537568464419,-0.0747265398204762,13.4525198147297,0.617128509464186,2.20066196002046
