"Size_category","BM_category","LHS","intercept","A","D","E","AC","adj_r_squared","t_intercept","t_A","t_D","t_E","t_AC"
"Small cap","Low BM","E_{t+1}",-1.28661862493906,-0.00833763411869378,-0.367908206081423,0.3363915391298,-0.0211052696263968,0.257557407438075,0.015162446260911,-3.24159476456935,-1.95940826741471,10.8835862692403,-1.64900156854506
"Small cap","Med BM","E_{t+1}",-0.0756187091467282,-0.00721222311906507,0.205545075564514,0.597405933977061,-0.153416629353031,0.309125230571777,1.37461828080318,-1.77632415468518,2.36241728655273,27.2308611819134,-5.56909620673233
"Small cap","High BM","E_{t+1}",-0.283900747948262,-0.0172637983462132,0.32668955998397,0.399999303547066,0.103047087689639,0.203796091591899,1.00336842114643,-7.78815944795615,2.71969852859429,16.6655484221737,-0.32465768163557
"Medium cap","Low BM","E_{t+1}",1.84768801705876,0.00127590640907563,-0.252339857613643,0.833591762890548,-0.263680453929787,0.283278238963744,2.22016548627334,0.67314544914714,0.857351821012671,19.9536254226983,-3.38485084506229
"Medium cap","Med BM","E_{t+1}",-0.20306100768281,0.00400896564162043,0.0470379431735701,0.724427353185404,-0.0701464405816822,0.38607184561602,0.193853098748577,4.31965363604482,2.23004579419983,37.602853160307,-5.53504411483222
"Medium cap","High BM","E_{t+1}",1.8212986676586,-0.013167214118139,0.386386070102565,0.560173663531763,0.0552425525766577,0.271122396283604,0.552640804751165,-8.03210513123188,3.51641747186413,17.2112997130919,1.71535094222012
"Large cap","Low BM","E_{t+1}",-13.9537014676927,-0.00119249746532188,0.236512721717605,0.987469272828012,-0.21575258287978,0.840763590518465,-0.807064420072071,1.42327103451155,4.6995034914046,48.4980383538119,-13.5205868583901
"Large cap","Med BM","E_{t+1}",-10.3882079595153,0.0101807127107682,0.297866152195338,0.753864878719806,-0.0348353909482835,0.747315932960728,-1.33965670762813,9.32729863379807,5.95674814741935,37.3492016692271,-4.74186629576027
"Large cap","High BM","E_{t+1}",-12.7961828200714,0.00444643838440762,0.0572911327188307,0.682948125188656,0.0732872049676081,0.528891019579393,-0.789771665626162,2.5102019493468,-0.558060547073147,14.7257246350458,2.33803562303602
