"Size_category","BM_category","LHS","intercept","E","NegE","NegE_E","adj_r_squared","t_intercept","t_E","t_NegE","t_NegE_E"
"Small cap","Low BM","E_{t+1}",9.25114519045886e-05,0.122539850461037,-0.201436210606565,0.0146666621296232,0.143926129597478,0.960608851344046,0.862570755698202,-3.3001369310154,0.672212325308357
"Small cap","Med BM","E_{t+1}",-0.00686597828677409,0.453618002075166,-0.147517112479399,-0.000585781524281449,0.126180127775438,-0.442193031601117,3.62049651699074,-4.20698737647512,-0.847420088624948
"Small cap","High BM","E_{t+1}",-0.14990434036406,0.542049817793474,-0.135047659321708,0.0193099836503678,0.0763040737796157,-2.56463896401091,3.36967870246299,-2.02077250345791,0.962090976346341
"Medium cap","Low BM","E_{t+1}",0.0118268362009864,0.634563492740257,-0.108152940191482,0.000346394780686121,0.19909419337784,1.59883920083205,3.77328003413153,-3.07636122706063,4.42297623200342
"Medium cap","Med BM","E_{t+1}",-0.0122474568308603,0.915180578757256,-0.157185266963413,-0.000623201015636001,0.0708585133634771,2.15159850557748,7.65146184236869,-2.03844925897217,-0.508216594317904
"Medium cap","High BM","E_{t+1}",-0.151725772546487,1.0842155981014,-0.0917214486252609,0.000977794382914534,0.105768802076934,-2.90104512421674,3.23566206445637,-0.941421430611463,-0.0669651060784864
"Large cap","Low BM","E_{t+1}",0.0574481051782925,-0.228050324438145,-0.148379771156334,0.000462895561461976,0.225565796318634,2.34707952333819,4.77353501923641,-2.8375280571365,1571798909539035
"Large cap","Med BM","E_{t+1}",0.0168114348995004,0.63273881499928,-0.0535393622138413,3.10662041621397e-05,0.0864405818889332,3.38599271018443,7.9668589864998,-0.616902812373889,-0.78316203899746
"Large cap","High BM","E_{t+1}",-0.0837602031375627,0.960474820468996,-0.130289532200352,0.000261429305590636,0.0804234550567795,0.828582579107153,2.42149731798157,-0.709486943555473,128678000919738
