"Size_category","BM_category","LHS","intercept","EPS","NegE","NegE_E","adj_r_squared","t_intercept","t_EPS","t_NegE","t_NegE_E"
"Small cap","Low BM","dependent_E_{t+1}",0.613335815107033,0.0835966650745523,-1.22738887231278,0.272648325337376,0.244926089224072,5.60892741422606,2.18377520655485,-4.97428454793951,15.3930150843146
"Small cap","Med BM","dependent_E_{t+1}",0.448198323423228,0.885116847487867,-0.74744017213459,0.0818312444878642,0.262784530959649,7.23930407574314,18.2349436593016,-5.40113619900094,6.91736978962309
"Small cap","High BM","dependent_E_{t+1}",0.220196315953364,-0.396316891283328,-1.38960345215929,0.418491975482232,0.134514124566481,1.51215072073528,10.971195619442,-0.796899796921731,12.2458281689578
"Medium cap","Low BM","dependent_E_{t+1}",4.37733456134053,3.86414827186602,-7.26799182759377,-1.36232768817098,0.192214485741354,6.5564911848767,11.6074461642289,-3.45583633589443,6.63402718328503
"Medium cap","Med BM","dependent_E_{t+1}",4.36503171482628,4.64416626270821,-4.26690668462313,-1.0785951531323,0.189649471106928,11.5022245064338,26.7294982393496,-3.49470637424854,5.44106795718914
"Medium cap","High BM","dependent_E_{t+1}",3.01010034252346,3.36359427250212,0.945817172979525,0.926829659480026,0.180956775794738,3.38352999161542,11.3392629884215,-0.270550822697927,13.6590531659816
"Large cap","Low BM","dependent_E_{t+1}",12.2218766314873,145.919401645638,69.4201205488419,-1.26109671817279,0.127249456751138,0.570942916271832,19.4008265769338,1.26376606699754,-4.96004749431255
"Large cap","Med BM","dependent_E_{t+1}",1.61685231852712,81.7487227775904,125.160522665485,-9.14684610098297,0.0847130582940389,0.346876984625773,18.8041703777897,1.47542309950733,-1.93970443451083
"Large cap","High BM","dependent_E_{t+1}",11.9621737673985,34.3362853514072,95.7193336787819,-0.274443939327317,0.101564304511129,0.646579939587262,5.97327985844287,0.483255015733309,4.77751846662334
